Order ID,Order Date,Customer Name,Product Category,Region,Sales Channel,Units Sold,Unit Price,Order Notes,Revenue
2045,2021-12-21,Lisa Aguilar,Footwear,East,Online,5,4971,Share know big stand today gun himself minute bring.,24855
2046,2020-03-12,Jessica Ruiz,Furniture,West,Online,56,3914,Reflect break east would place institution expert including either some.,219184
2047,2020-09-30,Carla Gibson,Footwear,West,Wholesale,22,4841,Direction south resource family somebody magazine whose question move.,106502
2048,2023-09-05,Catherine Mora,Furniture,West,Online,95,3414,Just teach Democrat on response collection should figure color.,324330
2049,2020-12-03,Monique Bell,Groceries,North,Wholesale,68,2838,Store federal former television low head sign writer consumer sea build message.,192984
2050,2023-10-21,Laura Archer,Toys,West,Retail,77,2598,Listen central drug main establish guy system discuss size wide go.,200046
2051,2024-02-27,Timothy Ward,Electronics,East,Wholesale,45,533,Western how company walk threat break rule.,23985
2052,2021-08-29,Katrina Ramirez,Footwear,South,Wholesale,27,436,Center military space require firm effect rich involve hard.,11772
2053,2020-06-14,Susan Long,Footwear,North,Wholesale,95,819,Or per gas one each soon give.,77805
2054,2024-04-16,Johnny Cameron,Books,North,Online,81,4370,Present free plant growth less industry cultural trial.,353970
2055,2020-01-11,Teresa Vaughan,Toys,North,Retail,64,4931,Bit collection what recent tend soutehrn.,315584
2056,2023-08-17,Patrick Pham,Books,East,Retail,34,4859,Far if American remain affect name city later list establish.,165206
2057,2021-12-29,Kim King,Footwear,North,Retail,69,2163,Professor general add in enough three town side actually building without buy spring.,149247
2058,2022-03-11,Timothy Campbell,Electronics,North,Retail,76,3637,Current perhaps point provide manager accept college everything especially stand friend floor.,276412
2059,2020-04-11,Meredith Watson,Groceries,South,Retail,87,4504,Finish wall dog speak various event future.,391848
2060,2023-12-19,Ashley Robinson,Groceries,East,Retail,28,628,Mrs take above start audience stay growth choose.,17584
2061,2023-11-16,Theodore Burns,Clothing,East,Wholesale,78,2811,Student ground area director too technology mother where by arrive it after.,219258
2062,2022-02-17,Patrick Smith,Clothing,North,Retail,83,1018,Say free sit officer work author pattern data expect.,84494
2063,2020-08-01,Jacob Arellano,Footwear,North,Online,35,1428,They term experience trip sort meet several president.,49980
2064,2023-01-16,Mary Campbell,Clothing,West,Online,5,2958,Natural call low apply idea ready time follow set general increase.,14790
2065,2024-04-25,Melanie Scott,Footwear,West,Wholesale,14,1845,Position cup policy camera fine measure.,25830
2066,2021-02-04,Monica Anderson,Groceries,East,Retail,4,2304,Firm record student best end cell effect live rich fine speech effect check.,9216
2067,2021-08-10,Courtney Mclaughlin,Books,North,Retail,24,1542,Yet among against itself region she machine.,37008
2068,2022-06-07,Cynthia Stokes,Furniture,East,Retail,36,1400,Degree accept stuff society serve section read rule.,50400
2069,2022-12-05,Brandi Smith,Groceries,East,Online,91,4936,Today cost kitchen identify account western.,449176
2070,2024-01-26,Linda Watkins,Electronics,North,Wholesale,93,3086,What painting yard term traditional event reason center move pattern over.,286998
2071,2021-08-14,,Furniture,South,Online,37,594,Necessary page someone life air religious scientist claim produce create simple.,21978
2072,2023-08-26,Michael Perry,Groceries,South,Online,65,1379,Other again actually enough hundred Mrs fund.,89635
2073,2023-01-14,Mary Frost,Toys,South,Online,25,3354,Capital role little receive doctor who process human explain key.,83850
2074,2020-04-01,Kathleen Strong,Footwear,South,Wholesale,21,3740,Phone term option face name more.,78540
2075,2021-11-03,Dr. Jeffrey Wilson,Groceries,East,Online,47,806,Risk particularly hundred close stand door chair.,37882
2076,2021-12-14,Heather Williams,Clothing,South,Wholesale,79,3024,Democrat huge can perform heart star national.,238896
2077,2022-07-24,Kristen Allen,Books,South,Online,34,2359,Hotel account certain nature southern body charge moment house send least toward.,80206
2078,2020-08-29,Carolyn Davis,Toys,East,Wholesale,82,3744,Stage edge seem page focus environmental rise.,307008
2079,2020-01-02,Pamela Mckenzie,Books,South,Retail,18,467,Food prepare school else fund mouth article group particularly meet task hotel it.,8406
2080,2020-08-12,Dennis Flores,Furniture,North,Retail,50,2814,Race approach class finish bring question mention then require learn do season foreign.,140700
2081,2022-03-11,Christopher Wilson,Groceries,South,Retail,96,371,Throw live opportunity girl country school shoulder never remember father bit adult.,35616
2082,2021-08-11,Anthony Jimenez,Clothing,South,Online,36,930,Stuff join inside method collection task color class dark economy hot.,33480
2083,2020-04-25,Linda Fowler,Toys,South,Retail,65,3380,Blue hotel year offer strong end news develop upon check data occur myself.,219700
2084,2022-07-06,Jacqueline Shepard,Electronics,North,Wholesale,11,4923,Ahead participant relate owner night apply subject history boy right.,54153
2085,2023-01-31,Jay Espinoza,Groceries,North,Online,53,1051,Necessary example material among difficult each material other public building above partner.,55703
2086,2020-07-12,Mary Mendoza,Clothing,North,Online,78,1708,Fact large painting stop traditional team painting nothing western child.,133224
2087,2023-04-04,Edgar Aguilar,Electronics,North,Wholesale,58,3691,Deal now look wide note rich hit throughout TV always gas around.,214078
2088,2022-05-20,Katherine Fernandez,Electronics,East,Retail,60,4550,Above standard list prove bar professional or tax form behavior many none arrive.,273000
2089,2020-03-30,Christina Webb,Furniture,South,Wholesale,26,198,Agency capital red agreement game against consumer evidence court their skill.,5148
2090,2020-05-01,Bonnie Moore,Books,South,Retail,12,374,Interest get travel company budget Mrs final determine another this quality everyone.,4488
2091,2020-05-22,Amanda Clark,Books,West,Retail,97,1124,Agency weight PM you area try issue meet.,109028
2092,2022-09-20,Elizabeth Walker,Furniture,North,Wholesale,16,130,Ability participant yet coach long different himself public most even.,2080
2093,2020-04-15,Corey Dunn,Groceries,North,Online,72,1429,Peace pattern body you century less.,102888
2094,2022-06-05,Steve Nash,Footwear,South,Wholesale,59,3898,Assume year can story might series financial type kind.,229982
2095,2021-03-03,Mark Robinson,Toys,South,Online,46,4230,Out strong subject perhaps social certain possible occur again recent big.,194580
2096,2023-08-21,Sarah Wright,Clothing,South,Wholesale,87,778,Station past stock must business togetehr.,67686
2097,2020-11-12,Alexandra Smith,Toys,North,Wholesale,56,2420,Can least bring president agree Democrat begin oil management.,135520
2098,2021-09-26,Derrick Webster,Toys,North,Wholesale,15,839,Price one try form administration contain.,12585
2099,2020-01-09,Troy Frey,Books,East,Retail,65,1369,Bill oil speech both personal four loss find chair believe.,88985
2100,2022-02-12,Andrew Davis,Toys,West,Online,18,894,Election base seem number this crime fact whom environmental according.,16092
2101,2023-01-01,Lauren Lopez,Furniture,East,Wholesale,1,1593,Event three leave out individual head know necessary find.,1593
2102,2023-10-14,Joseph Burton,Books,East,Online,62,833,Low whole success far less force.,51646
2103,2020-08-10,Jennifer Liu,Books,East,Online,80,2558,Various property author friend they provide minute read type heart alone say.,204640
2104,2023-12-10,Derek Wright,Books,South,Wholesale,38,3246,Two its other capital economy the every over just easy.,123348
2105,2021-07-06,Alex Collins,Groceries,East,Wholesale,10,2718,Certain only particular event would how land eat.,27180
2106,2023-10-25,Johnny Davis,Furniture,East,Online,40,3868,Mention sign tonight organization today line billion crime itself professor effect read.,154720
2107,2021-12-16,Anthony Gonzalez,Books,West,Online,61,3337,She executive sure card time into thousand deal design expert hold.,203557
2108,2023-07-11,Gary Henderson,Footwear,East,Online,91,1536,True reality in approach road include nature we agent.,139776
2109,2023-09-03,Danielle Griffin,Books,East,Online,29,3287,Lose lay mention finish feeling part year simple with behavior government case.,95323
2110,2023-01-12,Walter Brown,Furniture,North,Wholesale,77,4247,Worker necessary bank over region popular.,327019
2111,2023-09-03,Linda Roberts,Electronics,North,Wholesale,53,1138,Worker house truth computer raise factor grow with coach we red four.,60314
2112,2020-04-20,Nicole Donovan,Toys,West,Wholesale,45,129,Ahead foreign model of you box.,5805
2113,2020-09-07,Sarah Davis,Groceries,South,Retail,30,3263,Generation get new serious own mean agent sit life.,97890
2114,2021-01-17,Nichole Goodman,Groceries,West,Wholesale,91,1503,Address suggest military image eight may join bag yet.,136773
2115,2020-01-07,Steve Schultz,Footwear,North,Wholesale,18,135,Hotel moment city class nor evening former eat boy.,2430
2116,2021-04-03,Reginald May,Toys,South,Wholesale,94,1515,Season difficult large office campaign top assume growth story plant speech start with wait.,142410
2117,2023-01-12,Jennifer Moore,Clothing,East,Online,61,2097,Pm many simple open study green go subject up as.,127917
2118,2020-07-26,David Hill,Clothing,East,Retail,56,1465,Order both design summer prepare I face.,82040
2119,2022-06-18,Chad Williams,Toys,East,Retail,52,2641,Knowledge fight write nearly maybe though account traditional control blue two protect.,137332
2120,2023-11-14,Diamond Moore,Electronics,West,Online,38,3762,Call yourself authority direction man light meeting billion.,142956
2121,2023-08-30,Benjamin Peterson,Footwear,East,Online,41,3162,Under call us occur ten example wall hear.,129642
2122,2020-01-22,David Welch,Clothing,North,Wholesale,24,1988,Girl visit ago future goal guess song bring husband your these investment network.,47712
2123,2021-02-13,Steven Weiss,Books,North,Retail,83,3132,Herself recently give hold pressure we tell suffer.,259956
2124,2022-06-13,Danielle Humphrey,Books,North,Retail,28,225,Tv would everybody same business president forget change significant way against movie cell maintain.,6300
2125,2021-05-29,Dakota Bradford,Toys,South,Wholesale,30,1093,Late long reality student offer first piece color about.,32790
2126,2023-02-24,Mrs. Tracy Mcguire,Clothing,South,Retail,32,327,Half particular music end worker hit fast him participant debate politics.,10464
2127,2022-03-19,Michael Gilmore,Toys,West,Online,32,3342,Hot she shake military why toward.,106944
2128,2022-05-23,Heather Wilson,Groceries,West,Retail,88,1668,Including then lawyer result top dog yet staff can many as.,146784
2129,2020-01-14,William Keller,Electronics,West,Online,97,311,Everyone gas carry clear property scientist operation week bill.,30167
2130,2022-08-28,Felicia Miller,Books,South,Retail,69,3001,Past expert blue field then game remain.,207069
2131,2022-09-04,John York,Electronics,South,Retail,6,519,Civil about focus measure item security both risk.,3114
2132,2022-10-10,Zachary Stout,Clothing,East,Retail,58,943,Material common amount hold word how shoulder.,54694
2133,2022-11-01,Michael Williamson,Furniture,East,Online,62,4154,Floor what could wall company employee central.,257548
2134,2020-03-27,Eric Phelps,Toys,North,Retail,99,1044,Arm street weight example radio star population family available although.,103356
2135,2024-03-27,Teresa Schultz,Toys,West,Retail,74,1143,Religious end name left federal although per change history myself.,84582
2136,2022-06-27,Jacqueline Sanchez,Footwear,East,Online,93,3567,Become plan race represent type follow certain during certain above laugh do including.,331731
2137,2024-04-09,Barbara Meyer,Electronics,West,Wholesale,74,4408,However require surface since media big.,326192
2138,2023-08-17,Mr. Peter Flynn,Electronics,North,Retail,17,957,Process mother forward fact if into drop evening exist.,16269
2139,2023-06-20,John Jones,Clothing,South,Online,3,3943,He others strong suddenly help remember or street whole particular north determine when fact.,11829
2140,2020-05-01,Shannon Brooks,Footwear,East,Retail,1,2824,Rise general buy tough small pattern movie agreement far cold Democrat under large.,2824
2141,2023-03-16,Tiffany Lewis,Clothing,East,Wholesale,29,3798,Leg wall quality fear there individual impact new.,110142
2142,2024-05-09,Monique Marquez,Books,East,Online,94,1919,Gun development record investment nice information side join sound manage stay without identify.,180386
2143,2022-01-19,Jennifer Carpenter,Footwear,West,Wholesale,63,394,Know treatment recognize mouth forget hope office month her fire hear fight beat.,24822
2144,2023-10-11,Jean Mendoza,Furniture,East,Online,82,3181,Perform position write vote soldier itself loss dinner including onto.,260842
2145,2021-11-15,Robert Hall,Footwear,North,Retail,33,1059,Whose stand recently sometimes few American high by from some.,34947
2146,2020-11-04,Bryan Fuentes,Furniture,South,Wholesale,72,3466,Deep difference actually hard determine service adult challenge region whole popular audience.,249552
2147,2021-11-25,Ashley Thompson,Electronics,South,Retail,96,3219,Perform color medical major wonder partner need own organization every information citizen.,309024
2148,2020-10-14,Megan Watkins,Furniture,North,Online,70,2457,Camera society sound join true read difficult mind speak himself painting view still.,171990
2149,2020-11-02,Carl Jackson,Clothing,North,Retail,39,4553,Later bar sign program fight young point recognize down field item.,177567
2150,2024-06-05,Linda Mcgee,Toys,East,Wholesale,20,3652,Consumer night form character its carry back those another message.,73040
2151,2022-07-02,Jacob Vang,Footwear,South,Online,39,3214,Environment listen region through reflect than memory man outside vote budget.,125346
2152,2021-10-23,Kimberly Callahan,Clothing,East,Wholesale,85,4033,Debate tell company quickly our lot.,342805
2153,2021-07-02,Isaiah Harrison,Clothing,West,Online,87,3324,Result discuss year organization enough officer look degree color experience adult.,289188
2154,2023-10-07,Brooke Taylor,Footwear,East,Online,76,2061,Later organization budget successful key task left day finally our newspaper without.,156636
2155,2020-11-07,Allen Walker,Electronics,East,Retail,3,1254,Job paper choose follow production give happen image day authority beat area former.,3762
2156,2022-05-22,John Barker,Groceries,West,Wholesale,75,2477,Recognize return coach marriage choice other statement degree.,185775
2157,2022-12-18,Lisa Monroe,Clothing,South,Retail,8,315,Employee foreign dark upon floor role billion perform work along everyone art.,2520
2158,2022-07-12,Taylor Rodriguez,Furniture,West,Online,74,4474,Walk serve whatever director age result explain.,331076
2159,2022-01-24,Joseph Perez,Footwear,East,Online,92,2923,Audience TV certain clear cultural well movement happen partner.,268916
2160,2020-02-04,Joseph Johnston,Furniture,East,Retail,80,1213,Score personal million myself land be between scene group we.,97040
2161,2021-03-20,Juan Woods,Clothing,East,Online,12,778,Source because may minute receive but hundred assume.,9336
2162,2020-04-02,Joshua Sherman,Toys,East,Wholesale,40,4780,Suddenly center series week you born.,191200
2163,2023-05-15,Mackenzie Mclean,Groceries,North,Retail,19,1890,Identify that we training hotel election executive head then that manager effort that.,35910
2164,2020-12-18,Victor Snyder,Electronics,North,Online,38,4825,Nothing huge face economic research although test onto doctor drug scientist eat against.,183350
2165,2022-06-21,Sarah Wang,Clothing,East,Retail,37,2038,Growth author TV who dinner stay.,75406
2166,2023-09-17,Douglas Johnson,Electronics,East,Online,43,351,Well central truth you attack through final official brother accept huge.,15093
2167,2022-05-11,Renee Jimenez,Footwear,East,Wholesale,60,1675,Brother rise baby seat beyond measure.,100500
2168,2020-06-07,Carrie Young,Footwear,East,Online,46,1483,May quite four yeah indicate situation throw list change economy growth general nature.,68218
2169,2022-08-14,Justin Ramirez,Groceries,East,Wholesale,77,272,General never capital thank apply left mission TV write another thousand first.,20944
2170,2020-01-24,Amanda Meadows,Clothing,East,Wholesale,66,4040,Require positive bad themselves sometimes return you enjoy.,266640
2171,2021-02-07,John Frost,Toys,East,Online,78,3814,Above ability no help program why water range unit successful.,297492
2172,2022-03-15,David Price,Clothing,South,Retail,15,4404,Information later voice improve door trip wife.,66060
2173,2021-05-30,William Huang,Clothing,South,Retail,25,2008,Something value popular pick certain machine after happen.,50200
2174,2022-01-01,Patrick Moore,Books,North,Retail,60,1821,Yes artist southern old behind weight person police up her.,109260
2175,2023-10-19,Dana Martinez MD,Footwear,North,Retail,38,1686,Can check network real employee purpose development couple money such.,64068
2176,2023-11-06,Lindsay Jones,Clothing,East,Wholesale,88,3183,Message card baby learn less reality opportunity run result industry.,280104
2177,2021-06-15,Heather Johns,Clothing,South,Online,37,4814,May market Mrs during simple believe occur.,178118
2178,2022-08-13,Timothy Barnett,Toys,West,Online,27,4066,Police same black administration during factor impact offer tell surface government central someone.,109782
2179,2020-05-31,Kimberly Burton,Groceries,East,Online,29,1335,Former whole what perhaps forget actually sit she listen before change here.,38715
2180,2024-05-04,Brandon Rodriguez,Groceries,South,Retail,16,4958,Camera create people account travel discuss decision ask two.,79328
2181,2022-08-04,Jordan Foster,Books,West,Wholesale,63,3820,Shoulder special information itself season only gun democratic argue friend against find.,240660
2182,2021-08-30,Katelyn Black,Clothing,West,Retail,6,4797,Day ok green any eye just determine your left cover indeed fight student.,28782
2183,2024-06-28,Michael Davis,Furniture,South,Online,11,1258,Poor compare world pull worker face challenge conference brother shake rule.,13838
2184,2021-02-23,Jacqueline Alexander,Electronics,East,Online,95,4457,Worker before several my rock feeling read laugh.,423415
2185,2023-06-27,Jennifer Simmons,Toys,South,Retail,56,3801,Major economic really reality three old save.,212856
2186,2023-02-14,Dr. Stephanie Reyes,,,Online,78,3964,Itself most skin open ago page fire.,309192
2187,2022-05-15,Garrett Hopkins,Toys,West,Wholesale,72,2876,My service rock in discuss also star hair want again tend total last should.,207072
2188,2024-03-15,Amber Simmons,Footwear,North,Wholesale,30,92,Article man I wide worry must.,2760
2189,2021-07-31,Tracey Rivers,Books,East,Retail,41,2132,Less guess continue seven small eight way each easy take serve.,87412
2190,2020-11-30,Megan Roberts,Furniture,West,Online,20,989,Experience would to data wife training itself agreement keep.,19780
2191,2023-12-12,Michelle Robinson,Groceries,South,Retail,46,4031,Design suggest idea so financial recognize.,185426
2192,2022-07-20,Catherine Robertson,Electronics,East,Wholesale,42,3519,Someone opportunity discussion sure police want affect arm explain.,147798
2193,2020-10-21,Melvin Carter,Books,South,Online,35,588,Probably news expect eat physical tend these reality arrive rise national.,20580
2194,2022-01-24,Michael Sanchez,Groceries,West,Wholesale,67,4157,Attention motehr brotehr gas defense but science road federal send spend research machine.,278519
2195,2023-10-26,Sarah Williams,Footwear,East,Retail,36,865,Current dinner every nearly get product plant painting seek girl.,31140
2196,2020-07-04,Kevin Blackwell,Clothing,North,Online,34,433,Middle control strong across hand social tree others seek approach agree.,14722
2197,2023-06-23,Julie Henson,Books,West,Wholesale,26,2813,Son risk those thus day college health dog meeting usually couple performance current.,73138
2198,2021-09-28,Janice Petty,Clothing,South,Online,97,3063,According result whole section article reach these its market whether meet free.,297111
2199,2023-07-15,Joshua Gordon,Books,North,Retail,20,3150,Class race visit but vote whole myself against simple determine owner yet.,63000
2200,2023-06-14,Dave Chavez,Books,South,Wholesale,77,2291,Analysis author main food girl election rather ahead market magazine develop police.,176407
2201,2021-06-13,Clayton Huang,Clothing,East,Wholesale,36,3505,Probably especially would school run find actually door sister.,126180
2202,2024-04-24,Jason Phillips,Books,South,Online,69,1498,Area rest itself building house goal organization couple ground list matter daughter.,103362
2203,2020-01-21,Paula Parker,Footwear,South,Wholesale,93,4585,Class call career baby season throughout air push our young law store.,426405
2204,2022-06-29,Rhonda Hendrix,Toys,South,Wholesale,89,297,Hear improve expert stand back cover eat.,26433
2205,2022-05-16,Christopher Lee,Groceries,East,Online,9,4269,Attorney drive lawyer thus sea book impact air.,38421
2206,2022-03-04,Jon Cook,Footwear,South,Retail,28,3699,Future information western head challenge age political music away fear.,103572
2207,2024-03-23,Gloria Rhodes,Toys,North,Wholesale,55,2098,Worker loss thing play option officer whose often.,115390
2208,2020-04-09,Jesus White,Toys,West,Online,9,4098,Behind score religious next show seem particularly near your.,36882
2209,2022-01-21,Dawn Ruiz,Groceries,North,Wholesale,91,2211,However myself with year defense knowledge training send.,201201
2210,2021-04-22,Michelle Miller,Electronics,South,Online,15,2016,Modern necessary team particular individual run box important find involve.,30240
2211,2024-06-10,Christian Perkins MD,Electronics,East,Online,48,4694,Unit animal partner husband over government idea across person most contain nature voice.,225312
2212,2023-08-14,Lauren Eaton,Books,West,Wholesale,94,3632,Relationship main food during large yeah relationship author anything.,341408
2213,2022-07-28,Karen Murillo,Groceries,West,Online,10,4319,Building television left person will table we one.,43190
2214,2021-06-09,Theresa West,Toys,South,Retail,30,2627,Someone do daughter everyone can deep try money blue tend present.,78810
2215,2020-11-29,Jeffrey Patel,Clothing,East,Retail,98,2073,Everything marriage catch market activity write individual mean knowledge.,203154
2216,2020-01-02,Curtis Sawyer,Books,North,Retail,6,1809,Great race hair other lot evening case argue generation provide.,10854
2217,2021-01-09,Shane Simmons,Toys,South,Online,95,3669,Condition bad attention usually maintain memory let measure institution.,348555
2218,2020-10-19,Mary Brown,Footwear,South,Retail,44,2735,Unit serious lead possible deep that sure style those.,120340
2219,2022-04-16,Nancy Case,Clothing,South,Wholesale,90,2277,Agent big drop down sense process.,204930
2220,2022-10-01,Aaron Graham,Furniture,North,Online,14,3226,Realize white especially director get teacher join foreign example.,45164
2221,2021-07-06,Alex Carter,Electronics,West,Wholesale,19,1504,Growth by possible box day health.,28576
2222,2020-11-13,,Books,North,Wholesale,51,1873,Reality thing rest share design exactly heavy history into system note.,95523
2223,2024-03-05,Darlene Hawkins,Books,,Wholesale,83,1872,Past Democrat shoulder leg make town method bag whole soon.,155376
2224,2021-01-15,Michael Cannon,Clothing,East,Retail,20,459,Gas he at job him can me open program join treatment beat street.,9180
2225,2020-01-14,Ryan Young,Footwear,West,Wholesale,80,1497,Suggest thing listen explain you tend course out technology song.,119760
2226,2021-05-18,Michael Ortega,Electronics,South,Wholesale,69,3844,Decide office language spend need crime see feeling.,265236
2227,2020-08-18,Richard Kennedy,Clothing,East,Wholesale,47,2357,Somebody one nor lose walk owner sister.,110779
2228,2023-01-12,Paul Brown,Clothing,South,Retail,25,4823,Writer once great yeah begin range.,120575
2229,2020-05-09,James Obrien,Electronics,East,Retail,58,4188,Cold analysis bed minute commercial try.,242904
2230,2022-04-17,Zachary Hernandez,Footwear,,Online,51,2534,Consider role home will blue down discussion enjoy add design.,129234
2231,2023-03-14,Martin Johnson,Footwear,North,Retail,42,4278,Around according happen couple physical likely better suggest will paper commercial teacher.,179676
2232,2022-06-09,Jeremy Clark,Furniture,East,Wholesale,15,573,Citizen eye tax single quite lay media capital.,8595
2233,2020-01-28,Laura White,Groceries,East,Wholesale,59,3398,Soon space wish listen language choose claim.,200482
2234,2020-03-06,Maria Newman MD,Toys,West,Wholesale,65,2498,Church remain consumer evidence day include road young.,162370
2235,2023-04-01,Bruce Grant,Groceries,West,Retail,75,2616,Everybody life energy ok southern in.,196200
2236,2023-06-06,Kathleen Daugherty,Furniture,East,Retail,55,2620,Would eat building PM challenge toward push head instead theory share.,144100
2237,2020-09-17,Jonathan Summers,Electronics,West,Online,91,2699,Understand send activity personal set imagine describe value catch soon better modern question.,245609
2238,2024-01-12,Leslie Wilson,Books,East,Online,72,1608,Institution year energy magazine could black.,115776
2239,2023-12-18,Melody Arias,Electronics,West,Retail,18,2289,Practice accept sure worker institution movement nothing hope sometimes possible father least.,41202
2240,2021-04-04,Elizabeth Diaz,Toys,West,Retail,5,1813,Organization often draw conference data value mind expect show one.,9065
2241,2020-10-27,John Andersen,Clothing,East,Online,7,997,Must might at memory he deal look reach rather.,6979
2242,2022-07-07,Mark Lopez,Toys,South,Retail,52,883,Light opportunity to wide single long alone within.,45916
2243,2023-08-19,Stacey Meadows,Electronics,East,Retail,46,4307,Bar test continue daughter great me themselves.,198122
2244,2020-10-13,Taylor Torres,Groceries,East,Wholesale,87,618,Benefit before of mouth action college himself audience all attack company practice.,53766
2245,2023-11-19,Amanda Fleming,Books,South,Wholesale,60,1458,Year party pass recently last top news.,87480
2246,2022-10-30,Greg Christensen,Toys,West,Wholesale,94,2131,Bag firm trouble often follow and sure letter admit.,200314
2247,2021-09-21,Andrea Gould,Furniture,North,Wholesale,25,140,Economy not full I support appear discussion pressure perhaps growth.,3500
2248,2020-09-26,Dawn Williams,Electronics,North,Retail,81,818,Whom its look cut though trip expert open marriage if.,66258
2249,2021-08-14,Jody Elliott,Books,North,Online,47,3108,Hotel when benefit who job test accept.,146076
2250,2024-06-16,Olivia Barrett,Toys,South,Wholesale,88,3281,Read car marriage artist American end many answer future thousand lot successful.,288728
2251,2022-04-23,Ellen Allen,Books,East,Wholesale,93,4867,Manager land official by catch behavior organization modern.,452631
2252,2022-05-11,Nathan Edwards,Groceries,East,Wholesale,89,4838,Vote reveal subject movement add forget partner.,430582
2253,2023-10-16,Natalie Nelson,Clothing,South,Wholesale,11,283,Detail determine room present by fact should.,3113
2254,2023-07-04,Tina Underwood,Footwear,South,Retail,68,3713,Able sometimes your news financial leg bad church develop if reality safe.,252484
2255,2020-05-12,Veronica Hall,Books,South,Online,78,2280,Opportunity store go when last even represent end fast strong change.,177840
2256,2023-07-23,Jennifer Carter,Books,West,Retail,71,3522,Beat peace financial thank blue buy magazine skin hair play.,250062
2257,2022-08-29,Leslie Delgado,Electronics,North,Wholesale,70,3315,Body recent benefit six trial benefit mind.,232050
2258,2021-05-27,Robert Clay,Furniture,West,Wholesale,94,3926,It away race later community federal early question.,369044
2259,2020-11-08,Rebecca Brewer,Electronics,West,Wholesale,70,2005,Some car would instead figure standard law under debate.,140350
2260,2021-07-29,Erica Hernandez,Groceries,North,Online,23,3371,Congress lawyer possible animal audience Congress.,77533
2261,2022-06-04,Barbara Copeland,Books,North,Retail,81,3349,Control note available war lead charge light score time wife.,271269
2262,2023-07-31,Jerry Johnson,Clothing,South,Online,12,1984,Front sure feel benefit young page attention agent particularly nice determine.,23808
2263,2023-02-18,Laura Garcia,Books,North,Retail,71,2578,Beat magazine among level cost time pressure media against last.,183038
2264,2023-02-04,Renee Graham,Clothing,South,Retail,50,4929,Enough present you PM charge million serious stage dog.,246450
2265,2021-11-17,Jodi Williams,Footwear,North,Wholesale,53,4046,Pressure hundred future they knowledge mission make suffer since Mr.,214438
2266,2023-05-12,Lisa Martinez,Clothing,East,Online,19,1021,Data today memory describe stay produce career.,19399
2267,2020-06-13,Sarah Mcfarland,Footwear,West,Retail,42,3136,Security personal ago blue second study.,131712
2268,2020-10-31,Margaret Johnston,Toys,South,Online,69,3033,Product democratic expect chair provide pretty father seek success news pass human.,209277
2269,2024-02-29,Michelle Martin,Toys,East,Wholesale,61,2956,Former establish themselves all boy hit discussion direction speech her.,180316
2270,2024-04-28,John Pierce,Footwear,South,Retail,38,479,Board operation parent stop myself example wall myself.,18202
2271,2020-06-04,Molly Lowe,Clothing,North,Online,51,2359,Phone result subject better report degree until.,120309
2272,2023-10-22,Mr. Timothy Nicholson,Furniture,East,Retail,84,4377,Recent who network name carry garden professor as suddenly home federal.,367668
2273,2021-09-11,Carrie Mcmahon,Electronics,North,Wholesale,60,69,Expect church manager everyone whole defense like grow window go from similar.,4140
2274,2023-06-28,Aaron Lawrence,Footwear,West,Wholesale,9,1874,Stand treat star dream occur realize mission nation suggest college under.,16866
2275,2022-08-14,Carrie Schneider,Toys,West,Online,48,3967,Case apply sometimes whatever idea station somebody firm.,190416
2276,2020-11-29,Jonathan Collins,Footwear,South,Retail,72,2060,However city service claim follow lead throughout big effect cover add.,148320
2277,2022-08-26,Mckenzie Black,Groceries,East,Retail,90,2537,Wind reduce employee have look debate return.,228330
2278,2021-05-25,Lisa Jones,Toys,South,Online,24,4130,Nature recent focus game expert business opportunity difference speak concern get beyond.,99120
2279,2023-08-09,Julie Moore,Furniture,West,Online,16,4688,Safe lose be herself surface success foot system.,75008
2280,2022-11-09,Mike Sweeney,Furniture,West,Wholesale,60,3646,Table director western back politics staff public bank treat mouth gun know next.,218760
2281,2020-10-08,Benjamin Garcia,Clothing,North,Wholesale,2,2115,Idea line so time remain soldier subject her range ok audience ball.,4230
2282,2022-03-07,Jennifer Franklin,Furniture,West,Retail,25,4499,Drug center green little police here citizen yeah wear culture magazine.,112475
2283,2022-10-21,Steven Chase MD,Groceries,West,Retail,56,598,Save certainly attention sing eight store before red certainly eat end old friend.,33488
2284,2020-04-28,Marie Hunter,Groceries,South,Retail,24,4320,Expert bring share building include maintain happen eat prepare own leg power through.,103680
2285,2022-11-24,Megan Li,Footwear,North,Wholesale,59,3488,Despite officer and those well safe star before word training.,205792
2286,2020-07-16,Melissa Baldwin,Books,South,Retail,51,2998,Second feel section magazine himself television onto beautiful author son those training.,152898
2287,2021-04-29,Craig Rodriguez,Furniture,West,Retail,47,4477,Direction administration field because cover maybe few light message arrive event yourself bag.,210419
2288,2022-12-18,David Phillips,,South,Wholesale,60,1433,Myself tend old impact purpose low.,85980
2289,2022-04-16,Christopher Charles,Books,South,Wholesale,28,357,Radio one eat front prepare view land large our back head.,9996
2290,2023-03-30,Ricky Gentry,Toys,North,Online,93,1553,Executive since store prove rest drop indicate spring.,144429
2291,2022-10-05,Kayla Jones,Groceries,West,Retail,57,4135,Strategy month each series lead well to lawyer know recent glass.,235695
2292,2021-11-21,Mark Dalton,Footwear,South,Retail,89,2648,Security tough have think majority give yeah cost fund it.,235672
